"","ID","condition","date","OS","learn_trial_n","chosen_door","reward","task_stim","catch_success","catch_rt","blue_val","red_val","yellow_val","purple_val","noise","catch_fail","optimal_choice","reward_list","chosen_door_num","ID_num","inverse_temperature","directed_exploration","perseveration","learning_rate","prediction_error"
"19","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",19,"red_door",61,"Scenes_paint/Hagia_Sophia_1.jpg",0,NA,49.693,65.377,29.78,46.677,-4.3662,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.492560151689999,-7.72094924217232
"20","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",20,"red_door",51,"Scenes_paint/DevilsTower.jpg",1,0.4842,45.257,60.874,29.333,46.531,-10.223,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491491808155183,-13.6732634683361
"21","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",21,"red_door",61,"Scenes_paint/Amazon_1.jpg",0,NA,44.089,57.87,34.269,44.681,2.8357,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491224401511063,3.17746216741818
"22","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",22,"red_door",65,"Scenes_paint/Beijing_CCTV.jpg",0,NA,44.155,57.917,34.485,48.136,6.9243,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491157425550805,5.77050272636331
"23","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",23,"red_door",63,"Scenes_paint/Pentagon_1.jpg",0,NA,43.163,61.296,39.102,44.264,1.7052,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.49114064766666,1.13412251275317
"24","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",24,"red_door",53,"Scenes_paint/Napali_Coast.jpg",0,NA,44.192,59.323,40.12,37.909,-6.2763,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491136444531652,-9.21915573778959
"25","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",25,"yellow_door",42,"Scenes_paint/Oxford.jpg",0,NA,40.93,56.576,44.488,41.385,-2.6663,NA,0,3,4,1,0.165250501455611,0.012309249861754,0.822098570914142,0.890142455440862,2.47358333626418
"26","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",26,"blue_door",43,"Scenes_paint/Northern_Lights.jpg",1,0.4666,40.001,58.463,50.379,41.95,2.727,NA,0,3,2,1,0.165250501455611,0.012309249861754,0.822098570914142,0.889837666836053,-2.8463331877101
"27","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",27,"purple_door",33,"Scenes_paint/times_square.jpg",0,NA,37.438,59.109,50.546,47.027,-13.929,NA,0,3,3,1,0.165250501455611,0.012309249861754,0.822098570914142,0.846367210588261,-15.308484986661
"28","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",28,"red_door",61,"Scenes_paint/Louvre_Museum_1.jpg",0,NA,32.349,64.018,48.002,47.064,-2.9059,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.696665926280056,3.80097965922204
